"instruction_id","scaling_batch_id","logical_service_name","container_id","swarm_service_name","scaling_direction","received_request_timestamp","scale_acknowledgement_timestamp"
1,"fzCGhhnpMw","NODE","Y8b1MljUdp","vossibility_node-consumer","UP","2021-06-29 22:47:37.604","2021-06-29 22:47:40.966"
2,"fzCGhhnpMw","NODE","am1AXNfary","vossibility_node-consumer","UP","2021-06-29 22:47:37.658","2021-06-29 22:47:41.252"
3,"fzCGhhnpMw","NODE","1V99h2Nzck","vossibility_node-consumer","UP","2021-06-29 22:47:37.667","2021-06-29 22:47:41.336"
4,"fzCGhhnpMw","NODE","hzBS5gRYuq","vossibility_node-consumer","UP","2021-06-29 22:47:37.685","2021-06-29 22:47:41.4"
5,"fzCGhhnpMw","NODE","3cuRTODGEG","vossibility_node-consumer","UP","2021-06-29 22:47:37.703","2021-06-29 22:47:41.636"
6,"fzCGhhnpMw","NODE","QQDEcadTMm","vossibility_node-consumer","UP","2021-06-29 22:47:37.711","2021-06-29 22:47:41.674"
7,"fzCGhhnpMw","NODE","3yEd6roJz8","vossibility_node-consumer","UP","2021-06-29 22:47:37.72","2021-06-29 22:47:41.855"
8,"fzCGhhnpMw","NODE","utr5fNGUyS","vossibility_node-consumer","UP","2021-06-29 22:47:37.729","2021-06-29 22:47:41.873"
9,"fzCGhhnpMw","NODE","5EcmoNpdYN","vossibility_node-consumer","UP","2021-06-29 22:47:37.737","2021-06-29 22:47:41.952"
10,"hqKIZdOuXi","SPRING","NnYJIxXyNg","vossibility_spring-consumer","UP","2021-06-29 22:48:07.583","2021-06-29 22:48:20.069"
11,"hqKIZdOuXi","SPRING","YoVnPxXoRw","vossibility_spring-consumer","UP","2021-06-29 22:48:07.591","2021-06-29 22:48:22.527"
12,"hqKIZdOuXi","SPRING","MZuEiGolDT","vossibility_spring-consumer","UP","2021-06-29 22:48:07.599","2021-06-29 22:48:24.094"
13,"hqKIZdOuXi","SPRING","DalJGqPMEf","vossibility_spring-consumer","UP","2021-06-29 22:48:07.606","2021-06-29 22:48:24.334"
14,"hqKIZdOuXi","SPRING","HaMnGOMYyt","vossibility_spring-consumer","UP","2021-06-29 22:48:07.614","2021-06-29 22:48:24.66"
15,"hqKIZdOuXi","SPRING","EPnDFpPzLZ","vossibility_spring-consumer","UP","2021-06-29 22:48:07.62","2021-06-29 22:48:25.908"
16,"hqKIZdOuXi","SPRING","OfJPHlArVv","vossibility_spring-consumer","UP","2021-06-29 22:48:07.627","2021-06-29 22:48:25.991"
17,"hqKIZdOuXi","SPRING","sXvMhOMxly","vossibility_spring-consumer","UP","2021-06-29 22:48:07.634","2021-06-29 22:48:26.147"
18,"hqKIZdOuXi","SPRING","BkFdFvADfv","vossibility_spring-consumer","UP","2021-06-29 22:48:07.641","2021-06-29 22:48:26.491"
19,"jKDfrhHrwp","NODE","R5hOujy1l5","vossibility_node-consumer","UP","2021-06-29 22:49:54.379","2021-06-29 22:49:57.276"
20,"jKDfrhHrwp","NODE","mDgBWkcox5","vossibility_node-consumer","UP","2021-06-29 22:49:54.387","2021-06-29 22:49:57.758"
21,"jKDfrhHrwp","NODE","BQVePSSIG0","vossibility_node-consumer","UP","2021-06-29 22:49:54.394","2021-06-29 22:49:57.83"
22,"jKDfrhHrwp","NODE","ifGXEaNr8A","vossibility_node-consumer","UP","2021-06-29 22:49:54.401","2021-06-29 22:49:58.162"
23,"jKDfrhHrwp","NODE","p3ehbG90QY","vossibility_node-consumer","UP","2021-06-29 22:49:54.408","2021-06-29 22:49:58.295"
24,"jKDfrhHrwp","NODE","uoMdSYNhBL","vossibility_node-consumer","UP","2021-06-29 22:49:54.415","2021-06-29 22:49:58.391"
25,"jKDfrhHrwp","NODE","qV2jtyjDbN","vossibility_node-consumer","UP","2021-06-29 22:49:54.422","2021-06-29 22:49:58.451"
26,"jKDfrhHrwp","NODE","RG9ZaVNee0","vossibility_node-consumer","UP","2021-06-29 22:49:54.429","2021-06-29 22:49:58.51"
27,"jKDfrhHrwp","NODE","p6EHA5efwo","vossibility_node-consumer","UP","2021-06-29 22:49:54.436","2021-06-29 22:49:58.798"
28,"uBRxwxoCBh","SPRING","JYqAxqruYg","vossibility_spring-consumer","UP","2021-06-29 22:50:34.383","2021-06-29 22:50:49.8"
29,"uBRxwxoCBh","SPRING","tjUFvpQFQJ","vossibility_spring-consumer","UP","2021-06-29 22:50:34.391","2021-06-29 22:50:49.883"
30,"uBRxwxoCBh","SPRING","pXSUImVmFO","vossibility_spring-consumer","UP","2021-06-29 22:50:34.399","2021-06-29 22:50:50.929"
31,"uBRxwxoCBh","SPRING","TNufOqiNSR","vossibility_spring-consumer","UP","2021-06-29 22:50:34.406","2021-06-29 22:50:51.035"
32,"uBRxwxoCBh","SPRING","WsVgISjRGU","vossibility_spring-consumer","UP","2021-06-29 22:50:34.413","2021-06-29 22:50:51.123"
33,"uBRxwxoCBh","SPRING","ApGILsVLBU","vossibility_spring-consumer","UP","2021-06-29 22:50:34.42","2021-06-29 22:50:52.287"
34,"uBRxwxoCBh","SPRING","CklyIwWFvh","vossibility_spring-consumer","UP","2021-06-29 22:50:34.426","2021-06-29 22:50:52.441"
35,"uBRxwxoCBh","SPRING","gPWZpYRXLm","vossibility_spring-consumer","UP","2021-06-29 22:50:34.434","2021-06-29 22:50:52.787"
36,"uBRxwxoCBh","SPRING","yhMacQtaSy","vossibility_spring-consumer","UP","2021-06-29 22:50:34.44","2021-06-29 22:50:52.796"
37,"XRWTirwvRJ","SPRING","WsGJojlMPI","vossibility_spring-consumer","UP","2021-06-29 22:51:34.386","2021-06-29 22:52:13.659"
38,"XRWTirwvRJ","SPRING","VFCwBgDydJ","vossibility_spring-consumer","UP","2021-06-29 22:51:34.394","2021-06-29 22:52:13.895"
39,"XRWTirwvRJ","SPRING","NGfChFJacv","vossibility_spring-consumer","UP","2021-06-29 22:51:34.401","2021-06-29 22:52:14.314"
40,"XRWTirwvRJ","SPRING","bFHgJLXqzN","vossibility_spring-consumer","UP","2021-06-29 22:51:34.408","2021-06-29 22:52:15.068"
41,"XRWTirwvRJ","SPRING","RIUUzydFWC","vossibility_spring-consumer","UP","2021-06-29 22:51:34.414","2021-06-29 22:52:16.862"
42,"XRWTirwvRJ","SPRING","TuRrcrPvUP","vossibility_spring-consumer","UP","2021-06-29 22:51:34.421","2021-06-29 22:52:18.838"
43,"XRWTirwvRJ","SPRING","wMGEZiQNZM","vossibility_spring-consumer","UP","2021-06-29 22:51:34.428","2021-06-29 22:52:21.798"
